solvent1,solvent2,GE_RT_x05,gamma1_inf,gamma2_inf
Carbon tetrachloride,Dioxane,0.2301045846109242,2.1926166220580527,2.82334697870493
Carbon tetrachloride,Ethyl acetate,0.1752418091406149,1.8267654979731929,2.2423195998397265
Carbon tetrachloride,Methyl acetate,0.2463137582487718,2.4365180779598994,2.885314878458403
Carbon tetrachloride,Water,1.631076039818088,25083.692736867328,76520.16277826781
Chloroform,Acetic acid,-0.1587064994083504,0.6764441476304349,1.8155277235437963
Chloroform,Carbon tetrachloride,0.0386732098166589,1.1682258358368405,1.1651090424352477
Chloroform,Diethyl ether,-1.2668566273648263,0.0153705666430042,0.0134368992795848
Chloroform,Dioxane,-1.488310699484714,0.0191003496050256,0.000850427262806
Chloroform,Ethyl acetate,-1.144076333647662,0.0417249835375387,0.0039135353606846
Chloroform,Methyl acetate,-1.0414032794151518,0.0536583843752454,0.0067180097145422
Chloroform,Water,0.8887321517671043,338.94646198638696,66.15185209821621
Cyclohexane,1-Butanol,0.3899167022003289,3.405209405781766,65.56520581551396
Cyclohexane,1-Hexanol,0.2977446743458395,2.3374395676807094,46.31231134919934
Cyclohexane,1-Octanol,0.2205740167490648,1.7812307899931328,31.835818552799065
Cyclohexane,2-Propanol,0.4367347262231377,4.306747581094119,70.3995695900933
Cyclohexane,Acetic acid,0.8093977869990661,22.43616200850714,711.0294824171717
Cyclohexane,Acetone,0.3225927633362416,3.1926562167955383,4.078076402763583
Cyclohexane,Acetonitrile,0.715895602849477,19.878448600579294,18.731550406546347
Cyclohexane,Benzene,0.1216652048471,1.6493550786157158,1.612148715425811
Cyclohexane,Carbon tetrachloride,0.0032050417868962,1.0126674889854672,1.0130720528120765
Cyclohexane,Chloroform,0.0645791559236547,1.2847560492785426,1.3028425078489947
Cyclohexane,DMF,0.3744965070323314,3.188737488085496,6.678078655623415
Cyclohexane,DMSO,0.628876866554346,5.62635081110934,43.55608827645124
Cyclohexane,Dichloromethane,0.1873344273693053,2.203415886324779,2.0374060809987093
Cyclohexane,Diethyl ether,0.06993240359115,1.2995461036953382,1.348232722560187
Cyclohexane,Dioxane,0.3125849856834237,2.964402845631172,4.188915065824403
Cyclohexane,Ethanol,0.5265018220083663,6.684912682095924,106.06458590901087
Cyclohexane,Ethyl acetate,0.2506927445363333,2.3839673315097025,3.2455902396676914
Cyclohexane,Ethylbenzene,0.0672602250571643,1.273002485311688,1.3562115893593618
Cyclohexane,Methanol,0.6710366831803135,14.777940671714155,274.1766592842038
Cyclohexane,Methyl acetate,0.3274646089649382,3.312531339879594,4.197663249585912
Cyclohexane,NMP,0.2672571068438785,2.192902341414165,4.37096382409566
Cyclohexane,Propanol,0.4506037152284303,4.498830298366704,82.0382286097197
Cyclohexane,THF,0.1114628383590072,1.508727020681197,1.6081897514143813
Cyclohexane,Toluene,0.0896845227322028,1.406921005800711,1.461708140373449
Cyclohexane,Water,1.6559571460714584,31262.39527905122,97588.96782562666
DMF,Acetic acid,-1.2715725175478247,0.0035008787064272,0.0191118418599408
DMF,Carbon tetrachloride,0.2717878349065604,3.880963628722556,2.231326474958682
DMF,Chloroform,-1.9414481865206965,5.809205795068173e-05,0.0070206902197851
DMF,DMSO,0.0403504241395666,1.146527835308664,1.211795260806248
DMF,Dichloromethane,-1.2688184275790078,0.0049327520917401,0.0177910182138988
DMF,Diethyl ether,0.1311180176002497,1.8447014296853363,1.5473022421779157
DMF,Dioxane,0.0001768913724546,1.0014229195008957,1.0001122566059455
DMF,Ethyl acetate,0.00714966117958,1.0381910477644385,1.0181937480894123
DMF,Methyl acetate,-0.0100120053151031,0.960189865987758,0.9615431278843704
DMF,NMP,0.0035386704928899,1.0120449923251296,1.0168377574092258
DMF,THF,0.0637757596830612,1.3516193150284803,1.241034287136788
DMF,Water,-0.4162191053409074,0.1317981209009912,0.4577238327008784
DMSO,Acetic acid,-2.258104739648837,1.4423448093881211e-05,0.0028347399265182
DMSO,Carbon tetrachloride,0.51732264106682,20.711051239860875,3.8760656394198727
DMSO,Chloroform,-2.345202579520664,2.582917354021442e-06,0.0032866991540609
DMSO,Dichloromethane,-1.5010341495898585,0.0013477762459653,0.0103079654255316
DMSO,Diethyl ether,0.3034424485642364,5.157632746971352,2.422808044200805
DMSO,Dioxane,0.0855290470201519,1.5513852301159647,1.3093938882981302
DMSO,Ethyl acetate,0.1266499709346762,1.9226224004337331,1.4661617229831694
DMSO,Methyl acetate,0.0798168434863493,1.5533786113894286,1.2705385941046072
DMSO,NMP,0.0669274026060837,1.33884639697747,1.2726923197212232
DMSO,THF,0.1821223711894544,2.7229435056669136,1.716668337773372
DMSO,Water,-1.3135470357063253,0.0017502079069272,0.0209194175843909
Decane,1-Butanol,0.4975237991514107,6.631081882856472,63.69533392223925
Decane,1-Hexanol,0.4280345865157406,4.365920338370443,52.24219865075855
Decane,1-Octanol,0.3670044748189737,3.2496213642743794,41.44964530658056
Decane,2-Propanol,0.5268175817801035,8.556192716013081,63.35020434985542
Decane,Acetic acid,0.9812081831700246,136.77981408680108,620.9994241450529
