MAE_ln_gamma1,MAE_ln_gamma2,MAE_GE_RT,RMSE_ln_gamma1,RMSE_ln_gamma2,RMSE_GE_RT,bias_GE_RT,max_abs_GE_RT_ct,n_points,solvent1,solvent2,T_K,class1,class2,class_pair,lle_found_ct,lle_x1_phase1,lle_x1_phase2
0.11494384498603714,0.10797998385147761,0.060518767963287,0.13739088359580554,0.16329704299850495,0.06502616976687453,0.060518767963287,0.35153096372051607,19,Pentane,NMP,298.15,Alkane,Polar aprotic,Alkane + Polar aprotic,False,,
0.10821316361606276,0.1023648080397106,0.05710728250332361,0.130501877955044,0.15248930322024543,0.061300677367914364,0.05710728250332361,0.3265898336160527,19,Pentane,NMP,323.15,Alkane,Polar aprotic,Alkane + Polar aprotic,False,,
0.10190898884560588,0.09695236109752924,0.053886985109715284,0.12385178180803554,0.14264658674671826,0.05780216023789446,0.053886985109715284,0.30378494132142086,19,Pentane,NMP,348.15,Alkane,Polar aprotic,Alkane + Polar aprotic,False,,
0.09604814029474318,0.09181315572293872,0.050874627662112946,0.11752005833936727,0.13369191180658538,0.054541166940421534,0.050874627662112946,0.2830037725301992,19,Pentane,NMP,373.15,Alkane,Polar aprotic,Alkane + Polar aprotic,False,,
0.09062398882332819,0.08697878820802178,0.04807303406257901,0.1115443681783691,0.12554438021478875,0.05151599803731451,0.04807303406257901,0.2640909999261288,19,Pentane,NMP,398.15,Alkane,Polar aprotic,Alkane + Polar aprotic,False,,
0.04645846413790129,0.04571362427391156,0.024871394542487883,0.05963310937809609,0.06249705373712316,0.02662948380792501,0.024871394542487883,0.13565622299738023,19,Pentane,THF,298.15,Alkane,Ether,Alkane + Ether,False,,
0.04274760577246473,0.04222130569999208,0.022927182084909268,0.05524725731555892,0.05727203321918478,0.024541473637420572,0.022927182084909268,0.12299920327357951,19,Pentane,THF,323.15,Alkane,Ether,Alkane + Ether,False,,
0.03950744153976788,0.039143706449190956,0.02122225286606674,0.05135885805671094,0.05275609700131119,0.022712268479811695,0.02122225286606674,0.11194234528396643,19,Pentane,THF,348.15,Alkane,Ether,Alkane + Ether,False,,
0.03666448505625784,0.03642304109868484,0.019721520435083156,0.047901807646579406,0.048825707711478934,0.02110342227776016,0.019721520435083156,0.10224188308290484,19,Pentane,THF,373.15,Alkane,Ether,Alkane + Ether,False,,
0.034156471399823606,0.03400661297344709,0.018392854472298967,0.04481833450642586,0.045380759577381066,0.019679964472751138,0.018392854472298967,0.09369432000420673,19,Pentane,THF,398.15,Alkane,Ether,Alkane + Ether,False,,
0.16039897410821533,0.16462751348886548,0.08798418987360442,0.2239922616366531,0.20762928204990735,0.0940301427471827,0.08798418987360442,0.29671029895633594,19,Pentane,Dichloromethane,298.15,Alkane,Halogenated,Alkane + Halogenated,False,,
0.142780801078942,0.14655313510982745,0.07830964376200807,0.1994257034087798,0.18480552207167852,0.08370407011550127,0.07830964376200807,0.26145973665219785,19,Pentane,Dichloromethane,323.15,Alkane,Halogenated,Alkane + Halogenated,False,,
0.12796815691771202,0.13135009576345028,0.0701760270642204,0.17875179768234012,0.16562244307855137,0.07502001517172104,0.0701760270642204,0.23173805665092453,19,Pentane,Dichloromethane,348.15,Alkane,Halogenated,Alkane + Halogenated,False,,
0.11539635252165469,0.1184425291786473,0.06327318083010391,0.16119267080088417,0.14934563415342025,0.06764809168434747,0.06327318083010391,0.2064779716343185,19,Pentane,Dichloromethane,373.15,Alkane,Halogenated,Alkane + Halogenated,False,,
0.10464207802458919,0.10739858871523139,0.05736918460100517,0.14616299568840813,0.13542532117313813,0.06134106380138806,0.05736918460100517,0.18485518438368098,19,Pentane,Dichloromethane,398.15,Alkane,Halogenated,Alkane + Halogenated,False,,
0.16473553234709562,0.16513459636854766,0.08907672418104758,0.2189960479220118,0.21746091134771062,0.09524616093834817,0.08907672418104758,0.13180010766742406,19,Pentane,Carbon tetrachloride,298.15,Alkane,Halogenated,Alkane + Halogenated,False,,
0.14472450571803255,0.14506884453824762,0.07825180608306412,0.19237553340783647,0.19105314818256616,0.08367488717098144,0.07825180608306412,0.11611556715418397,19,Pentane,Carbon tetrachloride,323.15,Alkane,Halogenated,Alkane + Halogenated,False,,
0.12782562524184163,0.12812532317866185,0.0691115884653501,0.1698992275828189,0.16875018031214412,0.0739038849961056,0.0691115884653501,0.10287824950825562,19,Pentane,Carbon tetrachloride,348.15,Alkane,Halogenated,Alkane + Halogenated,False,,
0.11342818313900867,0.11369102482311622,0.061325224299784,0.1507531781856694,0.14974687255057798,0.06557966785467001,0.061325224299784,0.09160620908097278,19,Pentane,Carbon tetrachloride,373.15,Alkane,Halogenated,Alkane + Halogenated,False,,
0.10107521403583372,0.10130731263943962,0.054645197449594195,0.13432849358162294,0.133440716310705,0.05843771711658586,0.054645197449594195,0.08193902675466071,19,Pentane,Carbon tetrachloride,398.15,Alkane,Halogenated,Alkane + Halogenated,False,,
0.015503738947884172,0.015182074964208566,0.008281946127173655,0.019706340996461093,0.021003155660179653,0.008869478291927321,0.008281946127173655,0.06873264092177599,19,Pentane,Diethyl ether,298.15,Alkane,Ether,Alkane + Ether,False,,
0.013567373683967876,0.013321945124156844,0.007257197177588753,0.01732134288174038,0.01833044723919648,0.0077704115354041235,0.007257197177588753,0.0612931905031159,19,Pentane,Diethyl ether,323.15,Alkane,Ether,Alkane + Ether,False,,
0.011924049325738822,0.011732397253454907,0.0063843891134963944,0.015279187601256473,0.016073272748702055,0.006834967399796379,0.0063843891134963944,0.054961726990552254,19,Pentane,Diethyl ether,348.15,Alkane,Ether,Alkane + Ether,False,,
0.010518065510671545,0.010366699770105986,0.005636020566143857,0.013519459288303016,0.014151658859056913,0.006033081907725051,0.005636020566143857,0.04953257334638461,19,Pentane,Diethyl ether,373.15,Alkane,Ether,Alkane + Ether,False,,
0.009307525937134103,0.009186731328315706,0.0049906258598084365,0.011994909457762026,0.012503799552278788,0.005341686334583238,0.0049906258598084365,0.044845049987347625,19,Pentane,Diethyl ether,398.15,Alkane,Ether,Alkane + Ether,False,,
