solvent1,solvent2,T_K,T_C,x1_phase1,x1_phase2
Propanol,Water,373.15,100.0,0.04981883,0.23026367
Propanol,Water,398.15,125.0,0.06021758,0.20337477
2-Propanol,Water,298.15,25.0,0.05739316,0.18880651
2-Propanol,Water,323.15,50.0,0.04883216,0.22165665
2-Propanol,Water,348.15,75.0,0.04704387,0.23485852
2-Propanol,Water,373.15,100.0,0.05030066,0.22948056
2-Propanol,Water,398.15,125.0,0.05988149,0.20591752
1-Butanol,Water,298.15,25.0,0.00900668,0.40210906
1-Butanol,Water,323.15,50.0,0.00855979,0.41933524
1-Butanol,Water,348.15,75.0,0.00875086,0.42252174
1-Butanol,Water,373.15,100.0,0.00956728,0.41267226
1-Butanol,Water,398.15,125.0,0.01108348,0.39172923
1-Hexanol,Acetonitrile,298.15,25.0,0.08235165,0.68217381
1-Hexanol,Acetonitrile,323.15,50.0,0.17921326,0.47242817
1-Hexanol,Water,298.15,25.0,0.00068953,0.58129084
1-Hexanol,Water,323.15,50.0,0.00069262,0.59027254
1-Hexanol,Water,348.15,75.0,0.00075594,0.58707735
1-Hexanol,Water,373.15,100.0,0.00088788,0.57301826
1-Hexanol,Water,398.15,125.0,0.0011061,0.54986342
1-Octanol,Acetonitrile,298.15,25.0,0.02770448,0.77204996
1-Octanol,Acetonitrile,323.15,50.0,0.04977633,0.65811338
1-Octanol,Acetonitrile,348.15,75.0,0.09378434,0.50066209
1-Octanol,Water,298.15,25.0,5.7845,0.67531618
1-Octanol,Water,323.15,50.0,6.2191,0.6792525
1-Octanol,Water,348.15,75.0,7.3837,0.67238544
1-Octanol,Water,373.15,100.0,9.5559,0.65580319
1-Octanol,Water,398.15,125.0,0.00013223,0.6309254
Acetonitrile,Carbon tetrachloride,298.15,25.0,0.08317654,0.93795612
Acetonitrile,Carbon tetrachloride,323.15,50.0,0.13267936,0.91405796
Acetonitrile,Carbon tetrachloride,348.15,75.0,0.20478094,0.8778177
Acetonitrile,Carbon tetrachloride,373.15,100.0,0.31339879,0.81714309
Acetonitrile,Carbon tetrachloride,398.15,125.0,0.62840367,0.63013835
DMSO,Carbon tetrachloride,298.15,25.0,0.05315306,0.68407315
DMSO,Carbon tetrachloride,323.15,50.0,0.08980838,0.63578378
DMSO,Carbon tetrachloride,348.15,75.0,0.1517273,0.56208016
THF,Water,323.15,50.0,0.03039573,0.22381538
THF,Water,348.15,75.0,0.02275384,0.29726673
THF,Water,373.15,100.0,0.01997913,0.34469274
THF,Water,398.15,125.0,0.01987921,0.36337978
Dichloromethane,Water,298.15,25.0,0.00641474,0.95730477
Dichloromethane,Water,323.15,50.0,0.00794341,0.91856086
Dichloromethane,Water,348.15,75.0,0.01035729,0.86128665
Dichloromethane,Water,373.15,100.0,0.01400169,0.7859587
Dichloromethane,Water,398.15,125.0,0.01937911,0.69624155
Carbon tetrachloride,Acetic acid,298.15,25.0,0.06980879,0.99318684
Carbon tetrachloride,Acetic acid,323.15,50.0,0.09570832,0.98000938
Carbon tetrachloride,Acetic acid,348.15,75.0,0.13451157,0.94997666
Carbon tetrachloride,Acetic acid,373.15,100.0,0.19675704,0.8876911
Carbon tetrachloride,Acetic acid,398.15,125.0,0.31582268,0.75413893
Carbon tetrachloride,Water,298.15,25.0,3.7397,0.99815412
Carbon tetrachloride,Water,323.15,50.0,5.3126,0.99450164
Carbon tetrachloride,Water,348.15,75.0,7.9664,0.98653036
Carbon tetrachloride,Water,373.15,100.0,0.00012456,0.97196677
Carbon tetrachloride,Water,398.15,125.0,0.00019965,0.94904875
Diethyl ether,Water,298.15,25.0,0.00278204,0.58783033
Diethyl ether,Water,323.15,50.0,0.00215815,0.6667625
Diethyl ether,Water,348.15,75.0,0.00193191,0.70124597
Diethyl ether,Water,373.15,100.0,0.00196234,0.70569905
Diethyl ether,Water,398.15,125.0,0.00220153,0.6907202
Ethyl acetate,Water,298.15,25.0,0.02325091,0.43244278
Ethyl acetate,Water,323.15,50.0,0.01339442,0.52258068
Ethyl acetate,Water,348.15,75.0,0.01046933,0.53504034
Ethyl acetate,Water,373.15,100.0,0.00987476,0.51478365
Ethyl acetate,Water,398.15,125.0,0.01059809,0.47738919
Methyl acetate,Water,323.15,50.0,0.08973465,0.28843714
Methyl acetate,Water,348.15,75.0,0.0544257,0.35292633
Methyl acetate,Water,373.15,100.0,0.04836056,0.34229224
Methyl acetate,Water,398.15,125.0,0.05222622,0.30082144
